Name,Sex,Count
James,M,5202714
John,M,5150510
Robert,M,4834094
Michael,M,4392696
William,M,4156142
Mary,F,4132497
David,M,3646903
Joseph,M,2639396
Richard,M,2571082
Charles,M,2411608
Thomas,M,2331794
Christopher,M,2048886
Daniel,M,1948350
Elizabeth,F,1661030
Matthew,M,1625606
Patricia,F,1572795
George,M,1476135
Jennifer,F,1469379
Anthony,M,1462540
Linda,F,1453755
Barbara,F,1435386
Donald,M,1413153
Paul,M,1392882
Mark,M,1356524
Andrew,M,1309967
Edward,M,1296892
Steven,M,1287765
Kenneth,M,1278934
Margaret,F,1255686
Joshua,M,1228387
Kevin,M,1177055
Brian,M,1169557
Susan,F,1122518
Dorothy,F,1109423
Sarah,F,1087196
Ronald,M,1080285
Timothy,M,1077047
Jessica,F,1048559
Jason,M,1042386
Helen,F,1021261
Nancy,F,1003293
Betty,F,1000319
Karen,F,987174
Jeffrey,M,977190
Lisa,F,966072
Jacob,M,960317
Ryan,M,948215
Frank,M,913417
Nicholas,M,912919
Anna,F,903416
Gary,M,901299
Eric,M,883138
Sandra,F,874589
Emily,F,872130
Stephen,M,861201
Jonathan,M,854516
Ashley,F,851679
Kimberly,F,841324
Donna,F,831225
Ruth,F,829178
Carol,F,816613
Michelle,F,813448
Larry,M,806653
Laura,F,798336
Amanda,F,787990
Samuel,M,786623
Benjamin,M,785788
Justin,M,783070
Raymond,M,776182
Scott,M,773100
Brandon,M,764111
Melissa,F,756994
Rebecca,F,752023
Stephanie,F,742659
Deborah,F,741602
Henry,M,722827
Sharon,F,722260
Jack,M,721907
Emma,F,721534
Kathleen,F,712740
Cynthia,F,710246
Gregory,M,709685
Alexander,M,704351
Amy,F,696159
Shirley,F,685807
Patrick,M,680178
Angela,F,668754
Catherine,F,663888
Virginia,F,650650
Katherine,F,644009
Walter,M,625925
Dennis,M,619342
Jerry,M,613893
Brenda,F,607737
Evelyn,F,602863
Aaron,M,596930
Tyler,M,595944
Pamela,F,594699
Frances,F,592356
Nicole,F,590758
Christine,F,585630
Samantha,F,583607
Peter,M,582193
Jose,M,577110
Alice,F,574137
Rachel,F,568803
Nathan,M,566762
Adam,M,566199
Douglas,M,558783
Janet,F,556416
Carolyn,F,555955
Maria,F,554059
Harold,M,550655
Debra,F,550544
Martha,F,549959
Zachary,M,543800
Marie,F,538148
Arthur,M,535962
Heather,F,525225
Diane,F,518346
Grace,F,514338
Victoria,F,510203
Julie,F,509760
Joyce,F,508343
Olivia,F,506641
Carl,M,503943
Rose,F,491081
Albert,M,489959
Kyle,M,482855
Joan,F,480482
Christina,F,478099
Kelly,F,472640
Lauren,F,471997
Ann,F,469344
Julia,F,466788
Doris,F,462226
Lawrence,M,458904
Lillian,F,458815
Jean,F,458132
Ethan,M,454955
Kathryn,F,453704
Judith,F,453401
Joe,M,452183
Mildred,F,450995
Noah,M,450296
Willie,M,449559
Hannah,F,448794
Gerald,M,448182
Jeremy,M,441126
Roger,M,440795
Cheryl,F,439377
Andrea,F,438887
Megan,F,438571
Christian,M,437122
Keith,M,436507
Sara,F,429644
Austin,M,424596
Jesse,M,424550
Jacqueline,F,423801
Terry,M,423697
Harry,M,422494
Sean,M,420784
Teresa,F,414767
Gloria,F,413453
Ralph,M,413251
Roy,M,406419
Janice,F,406100
Theresa,F,404047
Charlotte,F,401611
Louis,M,400608
Madison,F,399373
Dylan,M,391001
Abigail,F,390489
Sophia,F,389637
Jordan,M,387272
Bryan,M,385240
Bruce,M,384665
Billy,M,383377
Judy,F,382487
Eugene,M,379671
Beverly,F,377633
Jane,F,375082
Denise,F,372864
Amber,F,372432
Isabella,F,372417
Marilyn,F,372165
Danielle,F,369302
Gabriel,M,368432
Natalie,F,365705
Diana,F,363224
Ruby,F,362374
Logan,M,361577
Brittany,F,359367
Russell,M,356243
Juan,M,355364
Alan,M,355010
Annie,F,354015
Irene,F,353618
Wayne,M,353292
Vincent,M,350814
Howard,M,345791
Fred,M,343295
Kayla,F,342636
Alexis,F,341712
Philip,M,341640
Lori,F,341323
Tiffany,F,337633
Florence,F,336512
Louise,F,334338
Elijah,M,334030
Kathy,F,333871
Lois,F,332446
Tammy,F,331879
Crystal,F,331245
Randy,M,328547
Ella,F,327581
Bonnie,F,325964
Taylor,F,325832
Victor,M,323536
Anne,F,323144
Phyllis,F,322447
Josephine,F,316855
Erin,F,314995
Johnny,M,314954
Bobby,M,314252
Mason,M,314172
Martin,M,311141
Alyssa,F,311009
Phillip,M,309689
Bradley,M,309444
Allison,F,308509
Eleanor,F,308098
Ava,F,306467
Isaac,M,305327
Travis,M,305230
Shawn,M,304715
Clarence,M,303069
Caleb,M,301786
Ernest,M,301661
Stanley,M,300231
Craig,M,299226
Carlos,M,296715
Shannon,F,295406
Edna,F,294689
Luke,M,294212
Audrey,F,293496
Cameron,M,293301
Leonard,M,292718
Peggy,F,292697
Tina,F,291853
Robin,F,290515
Dawn,F,289270
Earl,M,288897
Clara,F,288539
Lucas,M,288006
Francis,M,287677
Jimmy,M,287507
Cody,M,287499
Danny,M,284797
Rita,F,283765
Todd,M,281942
Luis,M,281862
Wanda,F,281120
Paula,F,279402
Alex,M,279015
Ethel,F,278810
Norma,F,277724
Dale,M,277621
Hazel,F,277340
Evan,M,277239
Nathaniel,M,276652
Eva,F,275211
Ellen,F,274286
Liam,M,273522
Marjorie,F,273057
Joel,M,272795
Theodore,M,269735
Allen,M,269664
Jamie,F,269456
Leslie,F,268628
Edith,F,268464
Jackson,M,268011
Connie,F,266586
Gladys,F,266494
Carrie,F,266092
Valerie,F,265048
Mia,F,264183
Frederick,M,263313
Esther,F,262467
Wendy,F,261561
Elaine,F,259530
Curtis,M,259488
Brianna,F,258060
Courtney,F,257987
Vanessa,F,257775
Cindy,F,256829
Antonio,M,254616
